Categoria;Detalle producto
Cremas de Almendras;crema choco almendras 250g
Cremas de Almendras;Crema de Almendra Natural 130g
Cremas de Almendras;Crema de Almendra Natural 240g
Cremas de Mani;Crema de Choco Mani 130g
Cremas de Mani;Crema de Choco Mani 240g
Cremas de Mani;Crema de Mani Miel 130g
Cremas de Mani;Crema de Mani Miel 240g
Cremas de Mani;Crema de Mani Natural 130g
Cremas de Mani;Crema de Mani Natural 240g
Cremas de Mani;Crema de Mani Sal 240g
General;Cactus
General;Decoracion regalo bandeja carton
General;Decoracion regalo canasta grande
General;Decoracion regalo canasta pequeña
Mermeladas;Mermelada de Frutos rojos 130g
Mermeladas;Mermelada de Frutos rojos 250g
Mermeladas;Mermelada de Maracumango 130g
Mermeladas;Mermelada de Maracumango 250g
Panadería Saludable;Babka de cacao
Panadería Saludable;Cinnamon Roll
Panadería Saludable;Mogolla de cuajada Unidad
Panadería Saludable;Mogollas de cuajada Artesano
Panadería Saludable;Moño de bocadillo y queso
Panadería Saludable;Pan de jamon y cuajada artesano
Panadería Saludable;Pan de Molde tajado 500gr
Panadería Saludable;pan Envinado Unid
Panadería Saludable;Pan Italiano
Panadería Saludable;Pannetone
Panadería Saludable;Roscones Artesano Individual
Panadería Saludable;Roscones de arequipe y coco Artesano
Panadería Saludable;Trenza de nueces
Postres Saludables;Muffin de chocolate
Postres Saludables;Torta de banano
Postres Saludables;Torta de chocolate
Postres Saludables;Torta de zanahoria
Postres Saludables;Torta del día
Yogurt;Yogurt Bebible 1lt Melocotón
Yogurt;Yogurt Bebible 1lt Mora
Yogurt;Yogurt Bebible 1lt Natural
Yogurt;Yogurt Griego 1lt Alfoli
Yogurt;Yogurt griego 250g Syrus
Yogurt;Yogurt Griego 500g Syrus
propina;PROPINA
Sandwiches;Sandwich de atún
Sandwiches;sandwich de carne
Sandwiches;Sandwich de pollo
Sandwiches;Sandwich de pollo con manzana
Sandwiches;Sandwich Napolitano
Sandwiches;Sandwich tres jamones
Sodas;Soda con frutas
Sodas;Soda hatsu
BebidasCalientes;Americano
BebidasCalientes;Aromatica de frutos Rojos
BebidasCalientes;Aromatica de Maracumango
BebidasCalientes;Cappucino en bebida Vegetal
BebidasCalientes;Cappucino en leche de vaca
BebidasCalientes;Chocolate Experiencia en bebida Vegetal
BebidasCalientes;Chocolate Experiencia en leche de Vaca
BebidasCalientes;Espresso doble
BebidasCalientes;Espresso Sencillo
BebidasCalientes;Latte en bebida Vegetal
BebidasCalientes;Latte en leche de vaca
BebidasCalientes;Té Chai en bebida vegetal
BebidasCalientes;Té Chai en leche de vaca
BebidasCalientes;Té Matcha en bebida Vegetal
BebidasCalientes;Té Matcha en leche de Vaca
BebidasCalientes;Tea Heat
Omelettes;Omelette + Huevos
Omelettes;Omelette especial
Omelettes;Omelette napolitano
Omelettes;Omelette queso y champiñones
Omelettes;Omelette solo queso
Horneados;Deditos de Queso Integral
Horneados;Deditos de Queso Tradicional
Horneados;Empanadas Integrales
Horneados;Mini Pizza
Parfaits;Parfait Balance
Parfaits;Parfait Explosión de Chocolate
Batidos;Batido de la Casa en bebida Vegetal
Batidos;Batido de la casa en leche de vaca
Batidos;Batido Fresa y Banano en bebida Vegetal
Batidos;Batido Fresa y Banano en leche de vaca
Batidos;Batido Frutos Rojos
Batidos;Batido Naranja y Zanahoria
Batidos;Batido Refrescante
Batidos;Batido Verde
Mercado;Aceite de aguacate
Mercado;Aceite de ajonjolí
Mercado;almendra 100g agranel
Mercado;Antipasto Pimentones asados X120g
Mercado;Arepas de Yuca
Mercado;Ay María fuego Alto 120g
Mercado;Ay maria pack x3
Mercado;bandeja de deditos integrales congelada
Mercado;Cacao en Polvo Lok 200g
Mercado;cafe entero 500gr
Mercado;Café Organico 200 años 250g
Mercado;Desinfectante Fresco 500ml
Mercado;Ghee Ajo y Cilantro
Mercado;Granola Artesanal Fiocchi 300g
Mercado;Harina de Yuca
Mercado;leche Almendra Silk
Mercado;Limpiador Fresco 500ml
Mercado;Mani sin sal x 500 gr
Mercado;Mantequilla Ghee La Vaca 220gr
Mercado;Miel de abeja Pienta 300g
Mercado;Miel de abeja Pienta 600g
Mercado;Miel de roble
Mercado;Pancakes de chocolate 70% 300g
Mercado;Pancakes de Red Berries 300g
Mercado;Pancakes de Vainilla 300g
Mercado;semillas de calabaza
Mercado;semillas de girasol
Mercado;Té Chai Tomacol 20 satches
Mercado;Te chai X unidad
Mercado;Té Despierta 180g
Mercado;Te Despierta X Unidad
Mercado;Te Dulce Sueños X unidad
Mercado;Té Matcha tomacol 20g
Mercado;Té Matcha Tomacol 70g
Mercado;Te Reactivate X Unidad
Mercado;Tomate Seco Tomacol 70g
Pizzas;Pizza ahuyamin
Pizzas;Pizza vegetales con pollo
Ensaladas;Ensalada con atún
Ensaladas;Ensalada con pollo
Temporada;caja corazones
Temporada;waffle navidad
WafflesyPancakes;Pancakes Tropical
WafflesyPancakes;Waffle con Helado Vainilla
WafflesyPancakes;Waffle Fresa y Arandanos
WafflesyPancakes;Waffle Frutos Amarillos
WafflesyPancakes;Waffle Salado
Bowls;Bowl Choco Avena
Bowls;Bowl de Avena Natural
Bowls;Bowl de Fruta Frutos Rojos
Bowls;Bowl de Fruta Salpicon
